Company Name,Industry,Sector,Email,Notes
OX Builders Ltd,Construction,Building,oxbuildersltd@gmail.com,"SME, Gmail contact."
ASB Construction Ltd,Construction,Building,info@asbconstruction.mu,"Direct info email."
People Clean Ltd,Services,Cleaning,peoplecleanltd@yahoo.com,"Yahoo mail, cleaning services."
Pleasure Pools Contracting,Construction,Specialized,pleapool@intnet.mu,"Pool contractor, intnet address."
Highway Contracting Ltd,Construction,Infrastructure,appalasawmy2015@gmail.com,"Personal gmail used for business."
Civil Building Construction Co,Construction,General,civilbuildingconstructioncoltd@outlook.com,"Outlook address."
Top Security Service Ltd,Services,Security,topsecureguard@gmail.com,"Security Guard SME (Gmail)."
Alert Security Services,Services,Security,alertrkb@gmail.com,"Security Guard SME (Gmail for vacanices)."
RSL Security Services,Services,Security,rslsecservices@gmail.com,"Security SME (Gmail)."
Securityplus Ltd,Services,Security,securityplus@intnet.mu,"Security SME (intnet)."
Accession Builders Ltd,Construction,Building,accessionbuildersltd@yahoo.com,"Found via Directory (Yahoo)."
ACSP Ltd,Construction,Specialized,acspools@outlook.com,"Pools/Construction (Outlook)."
Caudan Security,Services,Security,info@caudansecurity.com,"Larger player, but verified contact."
Security One Group,Services,Security,info@securityonegroup.mu,"Security Group."
Mauribel Security,Services,Security,info@mauribel.com,"Security Firm."
Hyvec Partners Ltd,Construction,General,hyvecpartner@intnet.mu,"Established SME."
Food Worth Co Ltd,Manufacturing,Food,foodworth@intnet.mu,"Banana snack manufacturer."
Adilsons,Retail,Hobbies,info@adilsons.mu,"Retail SME."
IBL Ltd,Conglomerate,Diversified,info@iblgroup.com,"(Large) Reference only."
CIEL Group,Conglomerate,Diversified,info@cielgroup.com,"(Large) Reference only."
ENL Group,Conglomerate,Diversified,info@enl.mu,"(Large) Reference only."
Gamma Civic Ltd,Construction,Materials,gcsl@gamma.mu,"(Large) Reference only."
