Company Name,Industry,Sector,Notes
IBL Ltd,Conglomerate,Diversified,Largest group, high PRB relevance
CIEL Group,Conglomerate,Textile/Healthcare,Complex workforce structure
ENL Group,Conglomerate,Property/Agri,Large operational staff
Rogers Group,Conglomerate,Logistics/Fin,Aviation & Logistics compliance key
Gamma Civic Ltd,Construction,Materials,High risk Labour Law sector
MCB Group,Finance,Banking,Strict compliance needs
SBM Holdings,Finance,Banking,Large workforce
AfrAsia Bank,Finance,Banking,Corporate focus
MUA Group,Finance,Insurance,Financial sector regulations
Cim Finance,Finance,Credit,Retail finance compliance
Lux Island Resorts,Hospitality,Hotels,Shift work & Overtime rules critical
Beachcomber Resorts,Hospitality,Hotels,Large staff, seasonal rules
Phoenix Beverages,Manufacturing,FMCG,Factory regulations apply
Alteo Group,Agri/Energy,Sugar/Energy,Field workers & PRB applicability
Vivo Energy,Energy,Petroleum,Safety & Hazard pay rules
Emtel,ICT,Telecom,Technical staff increments
Mauritius Telecom,ICT,Telecom,Large technical workforce
Liquid Telecom,ICT,Telecom,Infrastructure staff
Courts Mammouth,Retail,Consumer Goods,Large retail staff, commissions
United Basalt Products,Construction,Materials,Quarry/Construction regulations
Velogic,Logistics,Freight,Transport workers regulations
Pick & Buy (Winner's),Retail,Supermarket,Shift work, overtime, public holidays
Leal & Co,Retail,Automotive,Sales commissions & technical staff
ABC Motors,Retail,Automotive,Workshop & Sales staff
Food & Allied (Eclosia),Conglomerate,Food/Agri,Large diverse workforce
Innodis,Manufacturing,Food,FMCG production rules
Omnicane,Agri/Energy,Sugar,Seasonal workers
Medine Group,Conglomerate,Land/Agri,Property & Agriculture mix
Swan General,Finance,Insurance,Office staff compliance
Terra Mauricia,Conglomerate,Agri/Energy,Field & Factory rules
UBP Group,Construction,Building,Construction workers
General Construction,Construction,Infrastructure,Site workers, safety, overtime
Transinvest,Construction,Infrastructure,Road works, heavy compliance
Pad & Co,Construction,Building,Site labour
Rehm Grinaker,Construction,Building,Large projects
Happy World,Retail,Consumer,Distribution staff
Scott & Co,Retail,Distribution,Logistics & Sales
Grays,Manufacturing,Distiller/Distribution,Factory & Sales
Quality Beverages,Manufacturing,Beverages,Pepsi bottler, factory rules
Margarine Industries,Manufacturing,Food,Production staff
Panagora,Retail,Distribution,FMCG distribution
Scomat,Retail,Heavy Machinery,CAT dealer, technical staff
Axess,Retail,Automotive,Citroen/Mazda, workshop rules
Toyota Mauritius,Retail,Automotive,Workshop compliance
GML (Now IBL),Conglomerate,Diversified,Merged entity
La Farge (Mauritius),Construction,Cement,Factory rules
Kolos,Construction,Cement,Factory & Transport
Dry Cleaning Services,Services,Laundry,Manual labour rules
Seculogix,Services,Security,Shift work, security guard regulations
Brink's Mauritius,Services,Security,Security Remuneration Orders (Critical)
